2014/0013958-000 ; 8661 ; 1981 ; 1113260411 ; 28/02/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0023406-000 ; 8661 ; 1981 ; 1113259074 ; 28/02/2014 ; Subsídio Processual ; Documento ; Analisado
2011/0299130-000 ; 8661 ; 1981 ; 1313260287 ; 05/03/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0006874-000 ; 8661 ; 1981 ; 1113260349 ; 28/02/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0022918-000 ; 8661 ; 1981 ; 1113259252 ; 27/02/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0014076-000 ; 8661 ; 1981 ; 1113257743 ; 27/02/2014 ; Subsídio Processual ; Documento ; Analisado
2014/0019928-000 ; 8661 ; 1981 ; 1113261427 ; 05/03/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0015720-000 ; 8661 ; 1981 ; 1113259287 ; 27/02/2014 ; Subsídio Processual ; Documento ; Analisado
2014/0023444-000 ; 8661 ; 1981 ; 1113260504 ; 28/02/2014 ; Subsídio Processual ; Documento ; Analisado
2014/0016918-000 ; 8661 ; 1981 ; 1113259966 ; 27/02/2014 ; Subsídio Processual ; Documento ; Analisado
2013/0180750-000 ; 8661 ; 1981 ; 1113257883 ; 27/02/2014 ; Subsídio Processual ; Documento ; Analisado
2014/0016787-000 ; 8661 ; 1981 ; 1113258016 ; 27/02/2014 ; Subsídio Processual ; Documento ; Analisado
2014/0015088-000 ; 8661 ; 1981 ; 1113257955 ; 27/02/2014 ; Subsídio Processual ; Documento ; Analisado
2013/0089401-000 ; 8661 ; 1981 ; 1113258629 ; 26/02/2014 ; Subsídio Processual ; Documento ; Analisado
2012/0099429-000 ; 8661 ; 1981 ; 1313260511 ; 28/02/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0024359-000 ; 8661 ; 1981 ; 1113264880 ; 05/03/2014 ; Subsídio Processual ; Documento ; Analisado
2014/0011037-000 ; 8661 ; 1981 ; 1113260575 ; 28/02/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0025450-000 ; 8661 ; 1981 ; 1113263819 ; 05/03/2014 ; Subsídio Processual ; Documento ; Analisado
2014/0025327-000 ; 8661 ; 1981 ; 1113259997 ; 27/02/2014 ; Subsídio Processual ; Documento ; Analisado
2014/0010127-000 ; 8661 ; 1981 ; 1113260706 ; 28/02/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0023723-000 ; 8661 ; 1981 ; 1113260066 ; 27/02/2014 ; Subsídio Processual ; Documento ; Analisado
2014/0009209-000 ; 8661 ; 1981 ; 1113260629 ; 28/02/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0009390-000 ; 8661 ; 1981 ; 1113258701 ; 27/02/2014 ; Subsídio Processual ; Documento ; Analisado
